date,amount,merchant,description,type
2024-01-15,45.50,AMZN MKTP US,Amazon purchase,debit
2024-01-16,5.75,STARBUCKS #1234,Coffee,spent
2024-01-17,125.00,WALMART SUPERCENTER,Groceries,payment
2024-01-18,15.00,UBER TRIP,Rideshare,debit
2024-01-19,50.00,SHELL OIL,Gas,expense
2024-01-20,12.99,NETFLIX.COM,Streaming subscription,debit
2024-01-21,8.50,MCDONALD'S,Fast food,spent
2024-01-22,75.00,TARGET,Shopping,purchase
2024-01-23,30.00,CVS PHARMACY,Healthcare,debit
2024-01-24,2500.00,PAYROLL DEPOSIT,Salary,credit
2024-01-25,100.00,ELECTRIC COMPANY,Utility bill,payment
2024-01-26,60.00,INTERNET SERVICE,Internet bill,debit
2024-01-27,25.00,GYM MEMBERSHIP,Fitness,subscription
2024-01-28,18.75,PIZZA HUT,Dining,spent
2024-01-29,200.00,RENT PAYMENT,Housing,payment
2024-01-30,35.00,AMAZON PRIME,Subscription,debit
2024-02-01,45.00,GROCERY STORE,Food,expense
2024-02-02,10.00,COFFEE SHOP,Beverage,spent
2024-02-03,150.00,DEPARTMENT STORE,Clothing,purchase
2024-02-04,20.00,MOVIE THEATER,Entertainment,debit
2024-02-05,500.00,FREELANCE WORK,Project payment,credit
2024-02-06,200.00,REFUND,Product return,received
2024-02-07,1000.00,BONUS,Performance bonus,income
